PROLIFIC_PID,randomized_pair_order,stimulus_name,predictability,boundary_times_sec,boundary_count,block,global_position_in_block,video_attention_failure_type
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",painting,Unpredictable,"[2.130688,5.482935,7.794432,9.779281,11.346483,12.954297,16.082706,17.914396,19.834659,22.171117,23.466705,24.402945]",12.0,2.0,11.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",cleaning,Predictable,"[1.226786,2.834463,4.530932,6.442741,7.610577,8.610732,11.138706,12.298362,13.778588,14.930977,18.754626,20.210555,21.795107,24.114458,25.218538,28.946553]",16.0,2.0,12.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",cereal,Unpredictable,"[0.782499,1.679423,3.478601,5.647025,7.286701,10.439363,12.886495,16.382674,18.102601,21.630702,24.486497,26.326546,28.57417,30.175023,31.750756,33.022521,34.006614,34.918277,36.014688,37.206762]",20.0,2.0,13.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",suitcase,Predictable,"[0.9308,2.170772,3.530403,4.722623,6.17854,7.178396,8.050639,8.946996,10.162529,11.731101,13.251084,14.930634,16.458796,17.610672,20.098601,21.514701,22.482387,23.554659,26.499083]",19.0,2.0,14.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",whiteboard,Predictable,"[0.823065,4.758591,6.214496,8.518584,9.286495,12.214656,13.798486,14.982594,16.750698,18.134541,20.143126,20.934439,23.078385,23.990833,25.598611,26.822709,28.982481,29.606691,33.278506]",19.0,2.0,15.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",tea,Predictable,"[1.218408,2.562629,3.474422,4.898572,6.162522,7.258737,8.522659,9.130753,11.195109,12.074445,14.266551,15.074428,18.074507,19.098919,22.018629,23.67439,25.090581,26.322656,27.754635,28.746462,29.674732]",21.0,2.0,16.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",beach,Unpredictable,"[1.05074,3.338406,7.946909,9.067496,10.747587,11.722554,12.682702,13.65052,14.802391,16.034569,17.202964,18.65877,19.650382,20.602478,21.794706,22.994439,24.066697,25.170723]",18.0,2.0,17.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",laundry,Unpredictable,"[0.923348,2.818762,3.858245,6.027044,10.666669,12.466573,15.474472,16.666949,18.442714,20.699855,21.890566,23.850987,24.722772,25.65035,27.362589,28.706316]",16.0,2.0,18.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",party,Unpredictable,"[0.830505,1.830968,4.758704,6.174695,7.99851,11.575233,12.919122,14.358848,16.790913,19.134406,21.998611,24.950893,26.926711,29.102526,32.070718,34.006765]",16.0,2.0,19.0,
6a02fc6e1186071261f2734f,"[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]",car,Unpredictable,"[0.994776,3.098482,3.811127,4.626287,5.130303,6.770471,7.810897,9.330322,12.546618,14.034388,15.418632,16.538527,17.914671,20.218651,24.250519,26.170488,29.546727,31.298586,34.154506,36.562571,37.698633]",21.0,2.0,20.0,
